iter	RMSE
439	0.3449922765
440	0.3446409663
441	0.344325581
442	0.3440467924
443	0.3437556675
444	0.3433603917
445	0.3430565905
446	0.3426941861
447	0.3423486746
448	0.3421983722
449	0.3418451056
450	0.341483971
451	0.341152141
452	0.3409507888
453	0.3404751977
454	0.3402732409
455	0.3400174053
456	0.339809932
457	0.3395217079
458	0.3392750522
459	0.339056315
460	0.3387920283
461	0.3385676572
462	0.3382508441
463	0.3379270646
464	0.3377853516
465	0.3374693908
466	0.3369897711
467	0.3366614836
468	0.336534999
469	0.3363485634
470	0.3360954637
471	0.3358125138
472	0.3355715024
473	0.3353686915
474	0.3351269391
475	0.3348596927
476	0.3344783155
477	0.3342645314
478	0.3339143998
479	0.3334523092
480	0.3332201421
481	0.3326635144
482	0.3323357392
483	0.3319188925
484	0.3315399016
485	0.331269103
486	0.3310330394
487	0.3307895076
488	0.3304446623
489	0.3301830332
490	0.3299795419
491	0.329667763
492	0.3293943479
493	0.3292373503
494	0.3290346354
495	0.3286633508
496	0.3281573103
497	0.3279957614
498	0.3277556407
499	0.3275697655
500	0.3272340386
501	0.3269406901
502	0.3266651972
503	0.3265014351
504	0.3263709717
505	0.3259528524
506	0.3255500785
507	0.3252889654
508	0.325077977
509	0.3246308578
510	0.3242431705
511	0.3240168529
512	0.3238304058
513	0.323502732
514	0.3233271062
515	0.323146457
516	0.3226439312
517	0.3224198588
518	0.3222099828
519	0.3219783457
520	0.3218377721
521	0.3215117471
522	0.3212954847
523	0.320973319
524	0.3207778288
525	0.3204855403
526	0.3203364473
527	0.3198338793
528	0.3193673794
529	0.319284597
530	0.3189326635
531	0.3186918215
532	0.3182509576
533	0.3179851126
534	0.3178024741
535	0.3175022866
536	0.3173404135
537	0.3170086327
538	0.3168930298
539	0.3166853579
540	0.3164914978
541	0.316201817
542	0.3157348174
543	0.3155358016
544	0.3153093438
545	0.3150728824
546	0.3146856249
547	0.314404275
548	0.3140819788
549	0.3138665953
550	0.3134834268
551	0.3131484045
552	0.3128568276
553	0.3125280414
554	0.3120598007
555	0.3117832551
556	0.3116639015
557	0.3115296078
558	0.3111480545
559	0.3110362077
560	0.3108917624
561	0.3106335061
562	0.3102946713
563	0.3099615032
564	0.3097506174
565	0.3096423466
566	0.3095254141
567	0.3093496476
568	0.3092519115
569	0.3089773952
570	0.3087502943
571	0.3083763379
572	0.3081731278
573	0.3078321222
574	0.3074763412
575	0.3071883065
576	0.3070926944
577	0.306810219
578	0.3066953305
579	0.3064400981
580	0.3062723595
581	0.3061380129
582	0.3059248469
583	0.3057439611
584	0.3054914914
585	0.3051597136
586	0.3049871584
587	0.3048363416
588	0.3044326714
589	0.3042746807
590	0.3041961487
591	0.3040661436
592	0.3039731375
593	0.3038110096
594	0.303539485
595	0.3032904905
596	0.3030543236
597	0.3028083939
598	0.3026254561
599	0.3025552235
600	0.302450457
601	0.3022432515
602	0.3020280847
603	0.3018757844
604	0.3017061794
605	0.3015552164
606	0.3013834309
607	0.3012369116
608	0.3011511358
609	0.3010594793
610	0.3007464222
611	0.3005938402
612	0.3002998429
613	0.3001549187
614	0.299927118
615	0.2997765084
616	0.2996839886
617	0.2995648752
618	0.2993904041
619	0.2992722767
620	0.2991670472
621	0.2990877452
622	0.2988197872
623	0.2984066633
624	0.2982726226
625	0.2981386613
626	0.2978378672
627	0.2976915572
628	0.2974418916
629	0.2972136664
630	0.2970672755
631	0.2969248242
632	0.2967741784
633	0.2966806355
634	0.2965569194
635	0.2964109178
636	0.2963110569
637	0.2961734867
638	0.2959347542
639	0.295762808
640	0.2957142668
641	0.2955061153
642	0.295384756
643	0.2950816742
644	0.2948911537
645	0.2945587117
646	0.2944384025
647	0.2942270725
648	0.2940589581
649	0.2937883455
650	0.293683044
651	0.2933696851
652	0.2932810058
653	0.2929775898
654	0.2927836561
655	0.2925996099
656	0.2923046459
657	0.2920834839
658	0.2918867867
659	0.2917863078
660	0.2915720904
661	0.291440238
662	0.2912249269
663	0.2910412556
664	0.2907619213
665	0.2904124863
666	0.2903206106
667	0.2900902225
668	0.2898993104
669	0.2897985539
670	0.2895286546
671	0.2894242882
672	0.2893160832
673	0.2891505616
674	0.2889708077
675	0.2887658329
676	0.2886917989
677	0.2886304899
678	0.2884543917
679	0.2881948168
680	0.2879377153
681	0.2877051365
682	0.2875781231
683	0.287376115
684	0.2871625704
685	0.2870553975
686	0.2869908818
687	0.2867802211
688	0.2866206034
689	0.286408647
690	0.2862169606
691	0.286053421
692	0.2858752499
693	0.2856716508
694	0.2854356955
695	0.2850807177
696	0.2849170645
697	0.2848150703
698	0.2845487193
699	0.2843124222
700	0.2840987598
701	0.2839501244
702	0.2838543543
703	0.2836809483
704	0.2834724411
705	0.2834251219
706	0.2832021924
707	0.283115046
708	0.2829296102
709	0.2827675115
710	0.2825302794
711	0.2823119531
712	0.2821588742
713	0.2819266861
714	0.2818196298
715	0.2816292941
716	0.2814072744
717	0.281267061
718	0.2811793067
719	0.2810219396
720	0.2807913104
721	0.2806561602
722	0.2804923689
723	0.2803170798
724	0.2801498773
725	0.2799457013
726	0.279846105
727	0.2797317071
728	0.2795906072
729	0.2793750898
730	0.2792352585
731	0.2791009552
732	0.278884564
733	0.2786947936
734	0.2784912409
735	0.2783037016
736	0.2782615042
737	0.2781621093
738	0.2780007859
739	0.2779183839
740	0.277819808
741	0.2776091598
742	0.2775678801
743	0.2773783054
744	0.277266687
745	0.2771294931
746	0.2769349987
747	0.2766994259
748	0.276523031
749	0.2764257833
750	0.2762778791
751	0.2761816516
752	0.276096253
753	0.2759073665
754	0.2758552189
755	0.275714322
756	0.2756112822
757	0.2754261299
758	0.275347092
759	0.2752145232
760	0.2750721351
761	0.2749556723
762	0.2748181414
763	0.2747260297
764	0.2745074018
765	0.2741689048
766	0.2740176219
767	0.2738629681
768	0.2737345721
769	0.2735219171
770	0.2733529505
771	0.2732300119
772	0.2730743565
773	0.2730001286
774	0.2728391363
775	0.2726730217
776	0.2725652364
777	0.2724818693
778	0.2723094897
779	0.2721346329
780	0.27206209
781	0.2719030097
782	0.2717947635
783	0.2716717258
784	0.2715194526
785	0.2713735022
786	0.2711120075
787	0.2709500761
788	0.2708665185
789	0.2707536832
790	0.270660478
791	0.2704974356
792	0.2703687951
793	0.2702244929
794	0.2700138905
795	0.2698468587
796	0.2697336126
797	0.2695578318
798	0.2694382133
799	0.2693678995
800	0.2692637328
801	0.2691573586
802	0.2689469623
803	0.2688659969
804	0.2687601601
805	0.2686724969
806	0.2685377396
807	0.268374668
808	0.2682326848
809	0.2680657321
810	0.2679682088
811	0.2678269337
812	0.2677005946
813	0.2676220286
814	0.2674575123
815	0.2672953087
816	0.2672301052
817	0.2669605725
818	0.2668274145
819	0.2666318138
820	0.2664885809
821	0.2662805772
822	0.2661954951
823	0.2659925941
824	0.2659186182
825	0.2658752707
826	0.265768324
827	0.2656133406
828	0.2654908592
829	0.2653331048
830	0.265258701
831	0.2651887783
832	0.264924868
833	0.2647285052
834	0.2645984625
835	0.2643862631
836	0.2642348625
837	0.2641348962
838	0.2640281961
839	0.2639801052
840	0.263906833
841	0.2637823954
842	0.2635665931
843	0.2634196471
844	0.2633087583
845	0.2631533155
846	0.2630331267
847	0.2628598756
848	0.2626883384
849	0.2625703142
850	0.2624267907
851	0.2622753518
852	0.2620304076
853	0.2619015079
854	0.2618075431
855	0.2616657525
856	0.2614528549
857	0.2613249455
858	0.2611409432
859	0.2610416708
860	0.2609831358
861	0.2609096746
862	0.2607448922
863	0.260658073
864	0.2604357974
865	0.2603073595
866	0.2601867947
867	0.2600316532
868	0.2599165667
869	0.259849251
870	0.2597420059
871	0.2596518971
872	0.2595838283
873	0.2595401762
874	0.2594729406
875	0.2593900686
876	0.2593485272
877	0.2591931257
878	0.2590925825
879	0.2589540029
880	0.2588235277
881	0.2585632504
882	0.2583470891
883	0.2582279168
884	0.2581267269
885	0.2580124183
886	0.2578182355
887	0.2576882338
888	0.2575558668
889	0.2573687466
890	0.2572637473
891	0.2572173206
892	0.2570838781
893	0.256974659
894	0.2569104504
895	0.2566190558
896	0.256362511
897	0.2563213149
898	0.2562602664
899	0.2561103078
900	0.2560473442
901	0.2559243146
902	0.2558128419
903	0.2556610203
904	0.2554514074
905	0.2553704915
906	0.2552843873
907	0.2550861982
908	0.254995569
909	0.2548978865
910	0.2546310748
911	0.2544971417
912	0.2543678517
913	0.2543175648
914	0.2542522174
915	0.2541563969
916	0.2541174124
917	0.253950551
918	0.2537462476
919	0.2536245053
920	0.2535283867
921	0.253434862
922	0.2531983207
923	0.2531081565
924	0.2530179093
925	0.2528441949
926	0.2527042646
927	0.2525144555
928	0.2524533073
929	0.2522391693
930	0.2521375921
931	0.2520429666
932	0.2519224838
933	0.2517987497
934	0.2516509387
935	0.2515241653
936	0.2512834604
937	0.2511845352
938	0.2510919359
939	0.2509391099
940	0.2507825374
941	0.250641722
942	0.2505562909
943	0.2504728728
944	0.2503423714
945	0.2501188516
946	0.2500510655
947	0.2498278393
948	0.2496426997
949	0.2494691742
950	0.2493357459
951	0.2491802515
952	0.249068463
953	0.2488059495
954	0.2486433806
955	0.2485867147
956	0.2484705763
957	0.2483004134
958	0.2482537719
959	0.2481766355
960	0.2479771414
961	0.2478720429
962	0.2477775081
963	0.2476039908
964	0.2475290988
965	0.2474261539
966	0.2472498672
967	0.2471670566
968	0.2471406864
969	0.2470087256
970	0.2469222079
971	0.2468016946
972	0.2466540972
973	0.2464855935
974	0.2463646153
975	0.2462337224
976	0.2460706963
977	0.2459798387
978	0.2459263788
979	0.2457291692
980	0.2456074046
981	0.245463294
982	0.245305891
983	0.2451900738
984	0.2450377676
985	0.2448704035
986	0.2447527415
987	0.2445186867
988	0.2443225721
989	0.2441752005
990	0.2440680627
991	0.244007204
992	0.2438363228
993	0.2436845807
994	0.2435797144
995	0.2435561812
996	0.243458742
997	0.243360663
998	0.2432041083
999	0.2430642288
